Id,SalePrice
1461,110185.78933333333
1462,144180.53333333333
1463,178740.02666666667
1464,177276.71466666667
1465,165992.17066666667
1466,189671.69333333333
1467,175566.01866666667
1468,173943.83733333333
1469,171697.97333333333
1470,123278.79466666667
1471,181022.93333333332
1472,89033.61555555555
1473,89528.80533333334
1474,144557.29066666667
1475,126429.03777777779
1476,326617.85333333333
1477,258818.29866666667
1478,254834.74933333334
1479,284107.02133333334
1480,432775.61333333334
1481,318425.93333333335
1482,198770.30133333334
1483,176992.88533333334
1484,156733.35377777778
1485,165403.00266666667
1486,209806.83466666666
1487,243737.00533333333
1488,225582.032
1489,199406.232
1490,231661.37333333332
1491,187004.12
1492,94586.896
1493,234148.98666666666
1494,292169.28266666667
1495,248527.06133333335
1496,238765.74311111108
1497,169454.0
1498,148343.2128
1499,146726.66046984127
1500,155963.62755555555
1501,170287.2
1502,115186.23466666667
1503,277106.1946666667
1504,223310.272
1505,205992.208
1506,202541.65333333332
1507,290204.02133333334
1508,198334.42666666667
1509,172646.0
1510,141892.49866666668
1511,144588.0
1512,170685.04
1513,150799.83466666666
1514,290024.6186666667
1515,304678.872
1516,127734.19733333333
1517,168513.4382222222
1518,125754.67306666667
1519,255247.688
1520,139328.4
1521,142184.352
1522,162821.86666666667
1523,130668.33066666666
1524,128744.8
1525,113702.42133333333
1526,137049.248
1527,120675.58133333334
1528,124558.93333333333
1529,138573.2
1530,159074.08
1531,142633.368
1532,111961.08666666667
1533,113224.02666666667
1534,122201.73333333334
1535,157093.34133333334
1536,127859.24
1537,90503.01066666667
1538,137334.43733333334
1539,241683.18933333334
1540,143042.46933333334
1541,152091.088
1542,122910.73066666667
1543,203181.72
1544,76982.42933333333
1545,104629.33333333333
1546,113545.51466666667
1547,142174.26666666666
1548,130566.93333333333
1549,101374.66666666667
1550,140123.024
1551,114275.37333333334
1552,175873.07733333332
1553,190719.26933333333
1554,137701.656
1555,158751.0
1556,107415.2
1557,115078.08266666667
1558,56369.066666666666
1559,131299.328
1560,139665.73333333334
1561,204738.8
1562,129680.8
1563,120625.99466666667
1564,150739.84
1565,180026.88
1566,210490.50133333332
1567,76689.25333333333
1568,238077.12
1569,140276.46755555557
1570,148164.35555555555
1571,151431.616
1572,159078.8
1573,280534.24
1574,145983.06666666668
1575,172688.48
1576,212151.14666666667
1577,201436.42666666667
1578,140156.18133333334
1579,142361.16
1580,187612.13333333333
1581,153783.77142857143
1582,120583.33333333333
1583,320254.048
1584,248628.48
1585,136446.54973544972
1586,99342.58666666667
1587,113159.9502222222
1588,143644.8
1589,114044.0
1590,130540.9342222222
1591,118757.03733333333
1592,164982.05066666668
1593,110549.01866666667
1594,161452.78666666665
1595,163183.264
1596,233570.56
1597,207001.22666666665
1598,170250.18666666668
1599,140453.54063492062
1600,151259.21244444445
1601,90040.60266666667
1602,108527.304
1603,109428.62933333333
1604,273397.1973333333
1605,237893.94666666666
1606,161918.53066666666
1607,196463.768
1608,210280.12533333333
1609,194428.072
1610,174493.864
1611,202206.232
1612,193607.216
1613,163063.04266666668
1614,124884.9422222222
1615,88082.4
1616,91170.93333333333
1617,90453.2888888889
1618,125626.26666666666
1619,126986.69066666666
1620,199480.78666666665
1621,149570.064
1622,136861.6
1623,226122.59733333334
1624,180086.968
1625,112583.888
1626,172537.46666666667
1627,167026.01066666667
1628,239155.512
1629,167094.73866666667
1630,411845.17333333334
1631,220732.528
1632,274369.648
1633,157240.25333333333
1634,180396.744
1635,186413.16266666667
1636,147548.31733333334
1637,186221.248
1638,197766.632
1639,196895.47733333334
1640,293419.8506666667
1641,233418.144
1642,217572.78933333332
1643,210156.16
1644,211010.41066666666
1645,174720.81333333332
1646,152257.06666666668
1647,159383.8
1648,138170.752
1649,142568.66666666666
1650,123432.0
1651,119740.93333333333
1652,96983.26666666666
1653,95063.75555555556
1654,155490.50133333332
1655,138247.52666666667
1656,145060.29066666667
1657,156877.43466666667
1658,145991.024
1659,125178.66888888889
1660,143519.0
1661,407996.344
1662,352592.14133333333
1663,389018.0773333333
1664,481282.2586666667
1665,290367.87466666667
1666,300657.336
1667,339985.544
1668,329527.1493333333
1669,241900.69066666666
1670,346606.248
1671,311052.792
1672,433015.0613333333
1673,286680.73333333334
1674,226399.65866666666
1675,200288.472
1676,201585.08266666665
1677,209670.88533333334
1678,433160.9733333333
1679,362601.6373333333
1680,364305.2453333333
1681,230439.83288888886
1682,283445.536
1683,182726.55466666666
1684,166260.32
1685,171225.93333333332
1686,175716.17066666667
1687,157702.0
1688,175644.52266666666
1689,173487.38666666666
1690,179823.384
1691,168499.21866666665
1692,217113.02133333334
1693,158516.76266666668
1694,182221.69866666666
1695,174688.55733333333
1696,295980.76533333334
1697,173325.09066666666
1698,335543.5146666667
1699,320883.944
1700,242257.14666666667
1701,274753.70666666667
1702,264045.328
1703,257353.99733333333
1704,299007.25066666666
1705,194355.33333333334
1706,451862.16266666667
1707,233233.6728888889
1708,226145.77333333335
1709,255954.58933333334
1710,217908.53155555553
1711,231845.728
1712,289441.616
1713,292844.98933333333
1714,212177.46133333334
1715,204277.568
1716,180554.904
1717,152571.52266666666
1718,145163.01333333334
